iteracion,error_norma,pagerank_0,pagerank_1,pagerank_2,pagerank_3,pagerank_4,pagerank_5,pagerank_6,pagerank_7
36,0.003821,0.032804,0.032804,0.042317,0.008553,0.048448,0.048448,0.072387,0.027209
37,0.003704,0.031800,0.031800,0.041022,0.008292,0.046968,0.046968,0.070177,0.026378
38,0.003591,0.030827,0.030827,0.039766,0.008038,0.045534,0.045534,0.068033,0.025572
39,0.003481,0.029883,0.029883,0.038550,0.007792,0.044143,0.044143,0.065955,0.024791
40,0.003375,0.028969,0.028969,0.037371,0.007554,0.042794,0.042794,0.063940,0.024034
41,0.003271,0.028083,0.028083,0.036228,0.007323,0.041487,0.041487,0.061987,0.023299
42,0.003171,0.027225,0.027225,0.035120,0.007100,0.040219,0.040219,0.060093,0.022587
43,0.003075,0.026392,0.026392,0.034047,0.006883,0.038991,0.038991,0.058257,0.021897
44,0.002981,0.025585,0.025585,0.033006,0.006672,0.037799,0.037799,0.056477,0.021228
45,0.002889,0.024803,0.024803,0.031997,0.006468,0.036644,0.036644,0.054751,0.020580
46,0.002801,0.024045,0.024045,0.031019,0.006271,0.035525,0.035525,0.053078,0.019951
47,0.002716,0.023310,0.023310,0.030071,0.006079,0.034439,0.034439,0.051457,0.019341
48,0.002633,0.022598,0.022598,0.029152,0.005893,0.033387,0.033387,0.049884,0.018750
49,0.002552,0.021907,0.021907,0.028261,0.005713,0.032367,0.032367,0.048360,0.018177
50,0.002474,0.021238,0.021238,0.027397,0.005539,0.031378,0.031378,0.046882,0.017622
51,0.002399,0.020589,0.020589,0.026560,0.005369,0.030419,0.030419,0.045450,0.017083
52,0.002325,0.019959,0.019959,0.025748,0.005205,0.029489,0.029489,0.044061,0.016561
53,0.002254,0.019349,0.019349,0.024961,0.005046,0.028588,0.028588,0.042715,0.016055
54,0.002185,0.018758,0.018758,0.024199,0.004892,0.027715,0.027715,0.041409,0.015565
55,0.002119,0.018185,0.018185,0.023459,0.004743,0.026868,0.026868,0.040144,0.015089
56,0.002054,0.017629,0.017629,0.022742,0.004598,0.026047,0.026047,0.038917,0.014628
57,0.001991,0.017090,0.017090,0.022047,0.004457,0.025251,0.025251,0.037728,0.014181
58,0.001930,0.016568,0.016568,0.021373,0.004321,0.024479,0.024479,0.036575,0.013748
59,0.001871,0.016062,0.016062,0.020720,0.004189,0.023731,0.023731,0.035457,0.013328
60,0.001814,0.015571,0.015571,0.020087,0.004061,0.023006,0.023006,0.034374,0.012920
61,0.001759,0.015095,0.015095,0.019473,0.003937,0.022303,0.022303,0.033324,0.012525
62,0.001705,0.014634,0.014634,0.018878,0.003816,0.021622,0.021622,0.032305,0.012143
63,0.001653,0.014187,0.014187,0.018301,0.003700,0.020961,0.020961,0.031318,0.011772
64,0.001602,0.013753,0.013753,0.017742,0.003587,0.020320,0.020320,0.030361,0.011412
65,0.001553,0.013333,0.013333,0.017200,0.003477,0.019699,0.019699,0.029433,0.011063
66,0.001506,0.012926,0.012926,0.016674,0.003371,0.019097,0.019097,0.028534,0.010725
67,0.001460,0.012531,0.012531,0.016165,0.003268,0.018514,0.018514,0.027662,0.010397
68,0.001415,0.012148,0.012148,0.015671,0.003168,0.017948,0.017948,0.026817,0.010080
69,0.001372,0.011776,0.011776,0.015192,0.003071,0.017400,0.017400,0.025997,0.009772
70,0.001330,0.011417,0.011417,0.014728,0.002977,0.016868,0.016868,0.025203,0.009473
71,0.001289,0.011068,0.011068,0.014278,0.002886,0.016353,0.016353,0.024433,0.009184
72,0.001250,0.010730,0.010730,0.013841,0.002798,0.015853,0.015853,0.023686,0.008903
73,0.001212,0.010402,0.010402,0.013418,0.002713,0.015368,0.015368,0.022962,0.008631
74,0.001175,0.010084,0.010084,0.013008,0.002630,0.014899,0.014899,0.022261,0.008367
75,0.001139,0.009776,0.009776,0.012611,0.002549,0.014443,0.014443,0.021580,0.008112
76,0.001104,0.009477,0.009477,0.012226,0.002472,0.014002,0.014002,0.020921,0.007864
77,0.001070,0.009187,0.009187,0.011852,0.002396,0.013574,0.013574,0.020282,0.007623
78,0.001038,0.008907,0.008907,0.011490,0.002323,0.013159,0.013159,0.019662,0.007390
79,0.001006,0.008634,0.008634,0.011139,0.002252,0.012757,0.012757,0.019061,0.007165
80,0.000975,0.008371,0.008371,0.010798,0.002183,0.012367,0.012367,0.018479,0.006946
81,0.000945,0.008115,0.008115,0.010468,0.002116,0.011990,0.011990,0.017914,0.006733
82,0.000916,0.007867,0.007867,0.010148,0.002052,0.011623,0.011623,0.017367,0.006528
83,0.000888,0.007626,0.007626,0.009838,0.001989,0.011268,0.011268,0.016836,0.006328
84,0.000861,0.007393,0.007393,0.009538,0.001928,0.010924,0.010924,0.016321,0.006135
85,0.000835,0.007167,0.007167,0.009246,0.001869,0.010590,0.010590,0.015823,0.005947
86,0.000809,0.006948,0.006948,0.008964,0.001812,0.010266,0.010266,0.015339,0.005766
87,0.000785,0.006736,0.006736,0.008690,0.001757,0.009953,0.009953,0.014870,0.005589
88,0.000761,0.006530,0.006530,0.008424,0.001703,0.009648,0.009648,0.014416,0.005419
89,0.000738,0.006331,0.006331,0.008167,0.001651,0.009354,0.009354,0.013975,0.005253
90,0.000715,0.006137,0.006137,0.007917,0.001601,0.009068,0.009068,0.013548,0.005093
91,0.000693,0.005950,0.005950,0.007675,0.001552,0.008791,0.008791,0.013134,0.004937
92,0.000672,0.005768,0.005768,0.007441,0.001504,0.008522,0.008522,0.012733,0.004786
93,0.000651,0.005592,0.005592,0.007213,0.001458,0.008262,0.008262,0.012344,0.004640
94,0.000632,0.005421,0.005421,0.006993,0.001414,0.008009,0.008009,0.011967,0.004498
95,0.000612,0.005255,0.005255,0.006779,0.001371,0.007764,0.007764,0.011601,0.004361
96,0.000594,0.005095,0.005095,0.006572,0.001329,0.007527,0.007527,0.011247,0.004227
97,0.000575,0.004939,0.004939,0.006371,0.001288,0.007297,0.007297,0.010903,0.004098
98,0.000558,0.004788,0.004788,0.006177,0.001249,0.007074,0.007074,0.010570,0.003973
99,0.000541,0.004642,0.004642,0.005988,0.001211,0.006858,0.006858,0.010247,0.003851
100,0.000524,0.004500,0.004500,0.005805,0.001174,0.006648,0.006648,0.009934,0.003734
101,0.000508,0.004362,0.004362,0.005628,0.001138,0.006445,0.006445,0.009630,0.003620
102,0.000493,0.004229,0.004229,0.005456,0.001103,0.006248,0.006248,0.009336,0.003509
103,0.000478,0.004100,0.004100,0.005289,0.001069,0.006057,0.006057,0.009051,0.003402
104,0.000463,0.003975,0.003975,0.005127,0.001037,0.005872,0.005872,0.008774,0.003298
105,0.000449,0.003853,0.003853,0.004971,0.001005,0.005693,0.005693,0.008506,0.003197
106,0.000435,0.003735,0.003735,0.004819,0.000974,0.005519,0.005519,0.008246,0.003099
107,0.000422,0.003621,0.003621,0.004671,0.000944,0.005350,0.005350,0.007994,0.003005
108,0.000409,0.003511,0.003511,0.004529,0.000916,0.005187,0.005187,0.007750,0.002913
109,0.000396,0.003403,0.003403,0.004390,0.000888,0.005028,0.005028,0.007513,0.002824
110,0.000384,0.003299,0.003299,0.004256,0.000860,0.004875,0.004875,0.007283,0.002738
111,0.000373,0.003198,0.003198,0.004126,0.000834,0.004726,0.004726,0.007061,0.002654
112,0.000361,0.003101,0.003101,0.004000,0.000809,0.004581,0.004581,0.006845,0.002573
113,0.000350,0.003006,0.003006,0.003878,0.000784,0.004441,0.004441,0.006636,0.002494
114,0.000339,0.002914,0.002914,0.003759,0.000760,0.004306,0.004306,0.006433,0.002418
115,0.000329,0.002825,0.002825,0.003644,0.000737,0.004174,0.004174,0.006236,0.002344
116,0.000319,0.002739,0.002739,0.003533,0.000714,0.004046,0.004046,0.006046,0.002272
117,0.000309,0.002655,0.002655,0.003425,0.000692,0.003923,0.003923,0.005861,0.002203
118,0.000300,0.002574,0.002574,0.003320,0.000671,0.003803,0.003803,0.005682,0.002136
119,0.000291,0.002495,0.002495,0.003219,0.000651,0.003687,0.003687,0.005508,0.002070
120,0.000282,0.002419,0.002419,0.003121,0.000631,0.003574,0.003574,0.005340,0.002007
121,0.000273,0.002345,0.002345,0.003025,0.000612,0.003465,0.003465,0.005177,0.001946
122,0.000265,0.002273,0.002273,0.002933,0.000593,0.003359,0.003359,0.005019,0.001886
123,0.000257,0.002204,0.002204,0.002843,0.000575,0.003256,0.003256,0.004865,0.001829
124,0.000249,0.002137,0.002137,0.002756,0.000557,0.003157,0.003157,0.004717,0.001773
125,0.000241,0.002071,0.002071,0.002672,0.000540,0.003060,0.003060,0.004573,0.001719
126,0.000234,0.002008,0.002008,0.002590,0.000524,0.002967,0.002967,0.004433,0.001666
127,0.000227,0.001947,0.001947,0.002511,0.000508,0.002876,0.002876,0.004297,0.001615
128,0.000220,0.001887,0.001887,0.002435,0.000492,0.002788,0.002788,0.004166,0.001566
129,0.000213,0.001829,0.001829,0.002360,0.000477,0.002703,0.002703,0.004039,0.001518
130,0.000207,0.001774,0.001774,0.002288,0.000463,0.002620,0.002620,0.003915,0.001472
131,0.000200,0.001719,0.001719,0.002218,0.000448,0.002540,0.002540,0.003796,0.001427
132,0.000194,0.001667,0.001667,0.002150,0.000435,0.002463,0.002463,0.003680,0.001383
133,0.000188,0.001616,0.001616,0.002085,0.000421,0.002388,0.002388,0.003567,0.001341
134,0.000183,0.001567,0.001567,0.002021,0.000409,0.002315,0.002315,0.003458,0.001300
135,0.000177,0.001519,0.001519,0.001959,0.000396,0.002244,0.002244,0.003353,0.001260
136,0.000172,0.001472,0.001472,0.001899,0.000384,0.002175,0.002175,0.003250,0.001222
137,0.000166,0.001427,0.001427,0.001841,0.000372,0.002109,0.002109,0.003151,0.001184
138,0.000161,0.001384,0.001384,0.001785,0.000361,0.002044,0.002044,0.003055,0.001148
139,0.000156,0.001341,0.001341,0.001730,0.000350,0.001982,0.001982,0.002961,0.001113
140,0.000151,0.001300,0.001300,0.001678,0.000339,0.001921,0.001921,0.002871,0.001079
141,0.000147,0.001261,0.001261,0.001626,0.000329,0.001863,0.001863,0.002783,0.001046
142,0.000142,0.001222,0.001222,0.001577,0.000319,0.001806,0.001806,0.002698,0.001014
143,0.000138,0.001185,0.001185,0.001528,0.000309,0.001751,0.001751,0.002615,0.000983
144,0.000134,0.001149,0.001149,0.001482,0.000300,0.001697,0.001697,0.002536,0.000953
145,0.000130,0.001113,0.001113,0.001436,0.000290,0.001645,0.001645,0.002458,0.000924
146,0.000126,0.001079,0.001079,0.001393,0.000282,0.001595,0.001595,0.002383,0.000896
147,0.000122,0.001046,0.001046,0.001350,0.000273,0.001546,0.001546,0.002310,0.000868
148,0.000118,0.001014,0.001014,0.001309,0.000265,0.001499,0.001499,0.002240,0.000842
149,0.000115,0.000983,0.000983,0.001269,0.000256,0.001453,0.001453,0.002171,0.000816
150,0.000111,0.000953,0.000953,0.001230,0.000249,0.001409,0.001409,0.002105,0.000791
151,0.000108,0.000924,0.000924,0.001192,0.000241,0.001366,0.001366,0.002040,0.000767
152,0.000104,0.000896,0.000896,0.001156,0.000234,0.001324,0.001324,0.001978,0.000744
153,0.000101,0.000869,0.000869,0.001121,0.000227,0.001283,0.001283,0.001918,0.000721
154,0.000098,0.000842,0.000842,0.001086,0.000220,0.001244,0.001244,0.001859,0.000699
155,0.000095,0.000816,0.000816,0.001053,0.000213,0.001206,0.001206,0.001802,0.000677
156,0.000092,0.000791,0.000791,0.001021,0.000206,0.001169,0.001169,0.001747,0.000657
157,0.000089,0.000767,0.000767,0.000990,0.000200,0.001134,0.001134,0.001694,0.000637
158,0.000087,0.000744,0.000744,0.000960,0.000194,0.001099,0.001099,0.001642,0.000617
159,0.000084,0.000721,0.000721,0.000930,0.000188,0.001065,0.001065,0.001592,0.000598
160,0.000081,0.000699,0.000699,0.000902,0.000182,0.001033,0.001033,0.001543,0.000580
161,0.000079,0.000678,0.000678,0.000874,0.000177,0.001001,0.001001,0.001496,0.000562
162,0.000077,0.000657,0.000657,0.000848,0.000171,0.000971,0.000971,0.001450,0.000545
163,0.000074,0.000637,0.000637,0.000822,0.000166,0.000941,0.000941,0.001406,0.000528
164,0.000072,0.000617,0.000617,0.000797,0.000161,0.000912,0.000912,0.001363,0.000512
165,0.000070,0.000599,0.000599,0.000772,0.000156,0.000884,0.000884,0.001321,0.000497
166,0.000068,0.000580,0.000580,0.000749,0.000151,0.000857,0.000857,0.001281,0.000482
167,0.000066,0.000563,0.000563,0.000726,0.000147,0.000831,0.000831,0.001242,0.000467
168,0.000064,0.000545,0.000545,0.000704,0.000142,0.000806,0.000806,0.001204,0.000453
169,0.000062,0.000529,0.000529,0.000682,0.000138,0.000781,0.000781,0.001167,0.000439
170,0.000060,0.000513,0.000513,0.000661,0.000134,0.000757,0.000757,0.001131,0.000425
171,0.000058,0.000497,0.000497,0.000641,0.000130,0.000734,0.000734,0.001097,0.000412
172,0.000056,0.000482,0.000482,0.000621,0.000126,0.000712,0.000712,0.001063,0.000400
173,0.000054,0.000467,0.000467,0.000602,0.000122,0.000690,0.000690,0.001031,0.000387
174,0.000053,0.000453,0.000453,0.000584,0.000118,0.000669,0.000669,0.000999,0.000376
175,0.000051,0.000439,0.000439,0.000566,0.000114,0.000648,0.000648,0.000969,0.000364
176,0.000050,0.000425,0.000425,0.000549,0.000111,0.000629,0.000629,0.000939,0.000353
177,0.000048,0.000412,0.000412,0.000532,0.000108,0.000609,0.000609,0.000911,0.000342
178,0.000047,0.000400,0.000400,0.000516,0.000104,0.000591,0.000591,0.000883,0.000332
179,0.000045,0.000388,0.000388,0.000500,0.000101,0.000573,0.000573,0.000856,0.000322
180,0.000044,0.000376,0.000376,0.000485,0.000098,0.000555,0.000555,0.000830,0.000312
181,0.000042,0.000364,0.000364,0.000470,0.000095,0.000538,0.000538,0.000804,0.000302
182,0.000041,0.000353,0.000353,0.000456,0.000092,0.000522,0.000522,0.000780,0.000293
183,0.000040,0.000342,0.000342,0.000442,0.000089,0.000506,0.000506,0.000756,0.000284
184,0.000039,0.000332,0.000332,0.000428,0.000087,0.000490,0.000490,0.000733,0.000275
185,0.000037,0.000322,0.000322,0.000415,0.000084,0.000475,0.000475,0.000710,0.000267
186,0.000036,0.000312,0.000312,0.000402,0.000081,0.000461,0.000461,0.000689,0.000259
187,0.000035,0.000302,0.000302,0.000390,0.000079,0.000447,0.000447,0.000668,0.000251
188,0.000034,0.000293,0.000293,0.000378,0.000076,0.000433,0.000433,0.000647,0.000243
189,0.000033,0.000284,0.000284,0.000367,0.000074,0.000420,0.000420,0.000627,0.000236
190,0.000032,0.000276,0.000276,0.000355,0.000072,0.000407,0.000407,0.000608,0.000229
191,0.000031,0.000267,0.000267,0.000345,0.000070,0.000395,0.000395,0.000590,0.000222
192,0.000030,0.000259,0.000259,0.000334,0.000068,0.000383,0.000383,0.000572,0.000215
193,0.000029,0.000251,0.000251,0.000324,0.000065,0.000371,0.000371,0.000554,0.000208
194,0.000028,0.000243,0.000243,0.000314,0.000063,0.000360,0.000360,0.000537,0.000202
195,0.000027,0.000236,0.000236,0.000304,0.000062,0.000349,0.000349,0.000521,0.000196
196,0.000027,0.000229,0.000229,0.000295,0.000060,0.000338,0.000338,0.000505,0.000190
197,0.000026,0.000222,0.000222,0.000286,0.000058,0.000328,0.000328,0.000489,0.000184
