x,y,temperatura
0.857143,0.857143,72.807
0.857143,0.904762,79.7072
0.857143,0.952381,88.8033
0.904762,0.047619,15.625
0.904762,0.0952381,26.0173
0.904762,0.142857,32.6958
0.904762,0.190476,37.18
0.904762,0.238095,40.388
0.904762,0.285714,42.8337
0.904762,0.333333,44.8099
0.904762,0.380952,46.4923
0.904762,0.428571,47.9947
0.904762,0.47619,49.3984
0.904762,0.52381,50.7689
0.904762,0.571429,52.1674
0.904762,0.619048,53.66
0.904762,0.666667,55.3286
0.904762,0.714286,57.2882
0.904762,0.761905,59.7153
0.904762,0.809524,62.9033
0.904762,0.857143,67.367
0.904762,0.904762,74.0247
0.904762,0.952381,84.396
0.952381,0.047619,25.2544
0.952381,0.0952381,35.3925
0.952381,0.142857,40.2983
0.952381,0.190476,43.105
0.952381,0.238095,44.9417
0.952381,0.285714,46.2738
0.952381,0.333333,47.3198
0.952381,0.380952,48.1955
0.952381,0.428571,48.9701
0.952381,0.47619,49.6902
0.952381,0.52381,50.3922
0.952381,0.571429,51.1098
0.952381,0.619048,51.8796
0.952381,0.666667,52.7487
0.952381,0.714286,53.7866
0.952381,0.761905,55.1096
0.952381,0.809524,56.9365
0.952381,0.857143,59.733
0.952381,0.904762,64.6284
0.952381,0.952381,74.7561
