x,y,temperatura,tipo
0.619048,0.142857,17.3849,interno
0.619048,0.190476,22.6747,interno
0.619048,0.238095,27.6397,interno
0.619048,0.285714,32.2911,interno
0.619048,0.333333,36.6636,interno
0.619048,0.380952,40.805,interno
0.619048,0.428571,44.7673,interno
0.619048,0.47619,48.5996,interno
0.619048,0.52381,52.3514,interno
0.619048,0.571429,56.1115,interno
0.619048,0.619048,59.9662,interno
0.619048,0.666667,63.9907,interno
0.619048,0.714286,68.2497,interno
0.619048,0.761905,72.7952,interno
0.619048,0.809524,77.6625,interno
0.619048,0.857143,82.8617,interno
0.619048,0.904762,88.3685,interno
0.619048,0.952381,94.117,interno
0.619048,1,100,frontera
0.666667,0,0,frontera
0.666667,0.047619,6.28518,interno
0.666667,0.0952381,12.3799,interno
0.666667,0.142857,18.1439,interno
0.666667,0.190476,23.5051,interno
0.666667,0.238095,28.4514,interno
0.666667,0.285714,33.0122,interno
0.666667,0.333333,37.241,interno
0.666667,0.380952,41.2024,interno
0.666667,0.428571,44.9638,interno
0.666667,0.47619,48.5928,interno
0.666667,0.52381,52.1594,interno
0.666667,0.571429,55.746,interno
0.666667,0.619048,59.437,interno
0.666667,0.666667,63.3144,interno
0.666667,0.714286,67.4556,interno
0.666667,0.761905,71.9302,interno
0.666667,0.809524,76.7939,interno
0.666667,0.857143,82.0763,interno
0.666667,0.904762,87.7649,interno
0.666667,0.952381,93.7866,interno
0.666667,1,100,frontera
0.714286,0,0,frontera
0.714286,0.047619,6.79804,interno
0.714286,0.0952381,13.2977,interno
0.714286,0.142857,19.3057,interno
0.714286,0.190476,24.7505,interno
0.714286,0.238095,29.6486,interno
0.714286,0.285714,34.0654,interno
0.714286,0.333333,38.0859,interno
0.714286,0.380952,41.7996,interno
0.714286,0.428571,45.2928,interno
0.714286,0.47619,48.6483,interno
0.714286,0.52381,51.9476,interno
0.714286,0.571429,55.2759,interno
0.714286,0.619048,58.7213,interno
0.714286,0.666667,62.3743,interno
0.714286,0.714286,66.3281,interno
0.714286,0.761905,70.6763,interno
0.714286,0.809524,75.5064,interno
0.714286,0.857143,80.8848,interno
0.714286,0.904762,86.8281,interno
0.714286,0.952381,93.2645,interno
0.714286,1,100,frontera
0.761905,0,0,frontera
0.761905,0.047619,7.60929,interno
0.761905,0.0952381,14.7071,interno
0.761905,0.142857,21.0307,interno
0.761905,0.190476,26.5424,interno
0.761905,0.238095,31.3273,interno
0.761905,0.285714,35.5147,interno
0.761905,0.333333,39.2377,interno
0.761905,0.380952,42.6172,interno
0.761905,0.428571,45.7596,interno
0.761905,0.47619,48.7599,interno
0.761905,0.52381,51.7069,interno
0.761905,0.571429,54.6889,interno
0.761905,0.619048,57.7979,interno
0.761905,0.666667,61.1335,interno
0.761905,0.714286,64.8062,interno
0.761905,0.761905,68.9403,interno
0.761905,0.809524,73.6708,interno
0.761905,0.857143,79.1283,interno
0.761905,0.904762,85.3983,interno
0.761905,0.952381,92.4432,interno
0.761905,1,100,frontera
0.809524,0,0,frontera
0.809524,0.047619,8.93205,interno
0.809524,0.0952381,16.8907,interno
0.809524,0.142857,23.5675,interno
0.809524,0.190476,29.0612,interno
0.809524,0.238095,33.6034,interno
0.809524,0.285714,37.4285,interno
0.809524,0.333333,40.733,interno
0.809524,0.380952,43.6719,interno
0.809524,0.428571,46.3686,interno
0.809524,0.47619,48.9248,interno
0.809524,0.52381,51.431,interno
0.809524,0.571429,53.9747,interno
0.809524,0.619048,56.6481,interno
0.809524,0.666667,59.5555,interno
0.809524,0.714286,62.8229,interno
0.809524,0.761905,66.6078,interno
0.809524,0.809524,71.1081,interno
0.809524,0.857143,76.5593,interno
0.809524,0.904762,83.1937,interno
0.809524,0.952381,91.1101,interno
0.809524,1,100,frontera
0.857143,0,0,frontera
0.857143,0.047619,11.2283,interno
0.857143,0.0952381,20.356,interno
0.857143,0.142857,27.2877,interno
0.857143,0.190476,32.5313,interno
0.857143,0.238095,36.5964,interno
0.857143,0.285714,39.8631,interno
0.857143,0.333333,42.5937,interno
0.857143,0.380952,44.969,interno
0.857143,0.428571,47.118,interno
0.857143,0.47619,49.1397,interno
0.857143,0.52381,51.1177,interno
0.857143,0.571429,53.131,interno
0.857143,0.619048,55.2642,interno
0.857143,0.666667,57.6176,interno
0.857143,0.714286,60.3222,interno
0.857143,0.761905,63.56,interno
0.857143,0.809524,67.5946,interno
0.857143,0.857143,72.807,interno
0.857143,0.904762,79.7072,interno
0.857143,0.952381,88.8033,interno
0.857143,1,100,frontera
0.904762,0,0,frontera
0.904762,0.047619,15.625,interno
0.904762,0.0952381,26.0173,interno
0.904762,0.142857,32.6958,interno
0.904762,0.190476,37.18,interno
0.904762,0.238095,40.388,interno
0.904762,0.285714,42.8337,interno
0.904762,0.333333,44.8099,interno
0.904762,0.380952,46.4923,interno
0.904762,0.428571,47.9947,interno
0.904762,0.47619,49.3984,interno
0.904762,0.52381,50.7689,interno
0.904762,0.571429,52.1674,interno
0.904762,0.619048,53.66,interno
0.904762,0.666667,55.3286,interno
0.904762,0.714286,57.2882,interno
0.904762,0.761905,59.7153,interno
0.904762,0.809524,62.9033,interno
0.904762,0.857143,67.367,interno
0.904762,0.904762,74.0247,interno
0.904762,0.952381,84.396,interno
0.904762,1,100,frontera
0.952381,0,0,frontera
0.952381,0.047619,25.2544,interno
0.952381,0.0952381,35.3925,interno
0.952381,0.142857,40.2983,interno
0.952381,0.190476,43.105,interno
0.952381,0.238095,44.9417,interno
0.952381,0.285714,46.2738,interno
0.952381,0.333333,47.3198,interno
0.952381,0.380952,48.1955,interno
0.952381,0.428571,48.9701,interno
0.952381,0.47619,49.6902,interno
0.952381,0.52381,50.3922,interno
0.952381,0.571429,51.1098,interno
0.952381,0.619048,51.8796,interno
0.952381,0.666667,52.7487,interno
0.952381,0.714286,53.7866,interno
0.952381,0.761905,55.1096,interno
0.952381,0.809524,56.9365,interno
0.952381,0.857143,59.733,interno
0.952381,0.904762,64.6284,interno
0.952381,0.952381,74.7561,interno
0.952381,1,100,frontera
1,0,50,frontera
1,0.047619,50,frontera
1,0.0952381,50,frontera
1,0.142857,50,frontera
1,0.190476,50,frontera
1,0.238095,50,frontera
1,0.285714,50,frontera
1,0.333333,50,frontera
1,0.380952,50,frontera
1,0.428571,50,frontera
1,0.47619,50,frontera
1,0.52381,50,frontera
1,0.571429,50,frontera
1,0.619048,50,frontera
1,0.666667,50,frontera
1,0.714286,50,frontera
1,0.761905,50,frontera
1,0.809524,50,frontera
1,0.857143,50,frontera
1,0.904762,50,frontera
1,0.952381,50,frontera
1,1,50,frontera
