x,y,temperatura,tipo
0.47619,0.47619,48.0194,interno
0.47619,0.52381,51.9806,interno
0.47619,0.571429,55.9727,interno
0.47619,0.619048,60.0561,interno
0.47619,0.666667,64.2867,interno
0.47619,0.714286,68.7128,interno
0.47619,0.761905,73.3708,interno
0.47619,0.809524,78.28,interno
0.47619,0.857143,83.4382,interno
0.47619,0.904762,88.8176,interno
0.47619,0.952381,94.3638,interno
0.47619,1,100,frontera
0.52381,0,0,frontera
0.52381,0.047619,5.63625,interno
0.52381,0.0952381,11.1824,interno
0.52381,0.142857,16.5618,interno
0.52381,0.190476,21.72,interno
0.52381,0.238095,26.6292,interno
0.52381,0.285714,31.2872,interno
0.52381,0.333333,35.7133,interno
0.52381,0.380952,39.9439,interno
0.52381,0.428571,44.0273,interno
0.52381,0.47619,48.0194,interno
0.52381,0.52381,51.9806,interno
0.52381,0.571429,55.9727,interno
0.52381,0.619048,60.0561,interno
0.52381,0.666667,64.2867,interno
0.52381,0.714286,68.7128,interno
0.52381,0.761905,73.3708,interno
0.52381,0.809524,78.28,interno
0.52381,0.857143,83.4382,interno
0.52381,0.904762,88.8176,interno
0.52381,0.952381,94.3638,interno
0.52381,1,100,frontera
0.571429,0,0,frontera
0.571429,0.047619,5.72629,interno
0.571429,0.0952381,11.3493,interno
0.571429,0.142857,16.7829,interno
0.571429,0.190476,21.969,interno
0.571429,0.238095,26.8805,interno
0.571429,0.285714,31.519,interno
0.571429,0.333333,35.9088,interno
0.571429,0.380952,40.0912,interno
0.571429,0.428571,44.1185,interno
0.571429,0.47619,48.0502,interno
0.571429,0.52381,51.9498,interno
0.571429,0.571429,55.8815,interno
0.571429,0.619048,59.9088,interno
0.571429,0.666667,64.0912,interno
0.571429,0.714286,68.481,interno
0.571429,0.761905,73.1195,interno
0.571429,0.809524,78.031,interno
0.571429,0.857143,83.2171,interno
0.571429,0.904762,88.6507,interno
0.571429,0.952381,94.2737,interno
0.571429,1,100,frontera
0.619048,0,0,frontera
0.619048,0.047619,5.9196,interno
0.619048,0.0952381,11.7056,interno
0.619048,0.142857,17.2516,interno
0.619048,0.190476,22.4924,interno
0.619048,0.238095,27.4048,interno
0.619048,0.285714,31.9995,interno
0.619048,0.333333,36.3119,interno
0.619048,0.380952,40.3935,interno
0.619048,0.428571,44.3052,interno
0.619048,0.47619,48.1133,interno
0.619048,0.52381,51.8867,interno
0.619048,0.571429,55.6948,interno
0.619048,0.619048,59.6065,interno
0.619048,0.666667,63.6881,interno
0.619048,0.714286,68.0005,interno
0.619048,0.761905,72.5952,interno
0.619048,0.809524,77.5076,interno
0.619048,0.857143,82.7484,interno
0.619048,0.904762,88.2944,interno
0.619048,0.952381,94.0804,interno
0.619048,1,100,frontera
0.666667,0,0,frontera
0.666667,0.047619,6.24651,interno
0.666667,0.0952381,12.3019,interno
0.666667,0.142857,18.0254,interno
0.666667,0.190476,23.3444,interno
0.666667,0.238095,28.2467,interno
0.666667,0.285714,32.7622,interno
0.666667,0.333333,36.9458,interno
0.666667,0.380952,40.8657,interno
0.666667,0.428571,44.5956,interno
0.666667,0.47619,48.2112,interno
0.666667,0.52381,51.7888,interno
0.666667,0.571429,55.4044,interno
0.666667,0.619048,59.1343,interno
0.666667,0.666667,63.0542,interno
0.666667,0.714286,67.2378,interno
0.666667,0.761905,71.7533,interno
0.666667,0.809524,76.6556,interno
0.666667,0.857143,81.9746,interno
0.666667,0.904762,87.6981,interno
0.666667,0.952381,93.7535,interno
0.666667,1,100,frontera
0.714286,0,0,frontera
0.714286,0.047619,6.76449,interno
0.714286,0.0952381,13.2302,interno
0.714286,0.142857,19.2037,interno
0.714286,0.190476,24.6132,interno
0.714286,0.238095,29.4755,interno
0.714286,0.285714,33.8567,interno
0.714286,0.333333,37.8434,interno
0.714286,0.380952,41.5278,interno
0.714286,0.428571,45.0002,interno
0.714286,0.47619,48.3472,interno
0.714286,0.52381,51.6528,interno
0.714286,0.571429,54.9998,interno
0.714286,0.619048,58.4722,interno
0.714286,0.666667,62.1566,interno
0.714286,0.714286,66.1433,interno
0.714286,0.761905,70.5245,interno
0.714286,0.809524,75.3868,interno
0.714286,0.857143,80.7963,interno
0.714286,0.904762,86.7698,interno
0.714286,0.952381,93.2355,interno
0.714286,1,100,frontera
0.761905,0,0,frontera
0.761905,0.047619,7.58122,interno
0.761905,0.0952381,14.6508,interno
0.761905,0.142857,20.9459,interno
0.761905,0.190476,26.429,interno
0.761905,0.238095,31.1855,interno
0.761905,0.285714,35.3456,interno
0.761905,0.333333,39.0435,interno
0.761905,0.380952,42.402,interno
0.761905,0.428571,45.5301,interno
0.761905,0.47619,48.5246,interno
0.761905,0.52381,51.4754,interno
0.761905,0.571429,54.4699,interno
0.761905,0.619048,57.598,interno
0.761905,0.666667,60.9565,interno
0.761905,0.714286,64.6544,interno
0.761905,0.761905,68.8145,interno
0.761905,0.809524,73.571,interno
0.761905,0.857143,79.0541,interno
0.761905,0.904762,85.3492,interno
0.761905,0.952381,92.4188,interno
0.761905,1,100,frontera
0.809524,0,0,frontera
0.809524,0.047619,8.90962,interno
0.809524,0.0952381,16.8458,interno
0.809524,0.142857,23.5002,interno
0.809524,0.190476,28.9715,interno
0.809524,0.238095,33.492,interno
0.809524,0.285714,37.2967,interno
0.809524,0.333333,40.5828,interno
0.809524,0.380952,43.5068,interno
0.809524,0.428571,46.1935,interno
0.809524,0.47619,48.7457,interno
0.809524,0.52381,51.2543,interno
