x,y,temperatura
0.47619,0.619048,60.0561
0.47619,0.666667,64.2867
0.47619,0.714286,68.7128
0.47619,0.761905,73.3708
0.47619,0.809524,78.28
0.47619,0.857143,83.4382
0.47619,0.904762,88.8176
0.47619,0.952381,94.3638
0.52381,0.047619,5.63625
0.52381,0.0952381,11.1824
0.52381,0.142857,16.5618
0.52381,0.190476,21.72
0.52381,0.238095,26.6292
0.52381,0.285714,31.2872
0.52381,0.333333,35.7133
0.52381,0.380952,39.9439
0.52381,0.428571,44.0273
0.52381,0.47619,48.0194
0.52381,0.52381,51.9806
0.52381,0.571429,55.9727
0.52381,0.619048,60.0561
0.52381,0.666667,64.2867
0.52381,0.714286,68.7128
0.52381,0.761905,73.3708
0.52381,0.809524,78.28
0.52381,0.857143,83.4382
0.52381,0.904762,88.8176
0.52381,0.952381,94.3638
0.571429,0.047619,5.72629
0.571429,0.0952381,11.3493
0.571429,0.142857,16.7829
0.571429,0.190476,21.969
0.571429,0.238095,26.8805
0.571429,0.285714,31.519
0.571429,0.333333,35.9088
0.571429,0.380952,40.0912
0.571429,0.428571,44.1185
0.571429,0.47619,48.0502
0.571429,0.52381,51.9498
0.571429,0.571429,55.8815
0.571429,0.619048,59.9088
0.571429,0.666667,64.0912
0.571429,0.714286,68.481
0.571429,0.761905,73.1195
0.571429,0.809524,78.031
0.571429,0.857143,83.2171
0.571429,0.904762,88.6507
0.571429,0.952381,94.2737
0.619048,0.047619,5.9196
0.619048,0.0952381,11.7056
0.619048,0.142857,17.2516
0.619048,0.190476,22.4924
0.619048,0.238095,27.4048
0.619048,0.285714,31.9995
0.619048,0.333333,36.3119
0.619048,0.380952,40.3935
0.619048,0.428571,44.3052
0.619048,0.47619,48.1133
0.619048,0.52381,51.8867
0.619048,0.571429,55.6948
0.619048,0.619048,59.6065
0.619048,0.666667,63.6881
0.619048,0.714286,68.0005
0.619048,0.761905,72.5952
0.619048,0.809524,77.5076
0.619048,0.857143,82.7484
0.619048,0.904762,88.2944
0.619048,0.952381,94.0804
0.666667,0.047619,6.24651
0.666667,0.0952381,12.3019
0.666667,0.142857,18.0254
0.666667,0.190476,23.3444
0.666667,0.238095,28.2467
0.666667,0.285714,32.7622
0.666667,0.333333,36.9458
0.666667,0.380952,40.8657
0.666667,0.428571,44.5956
0.666667,0.47619,48.2112
0.666667,0.52381,51.7888
0.666667,0.571429,55.4044
0.666667,0.619048,59.1343
0.666667,0.666667,63.0542
0.666667,0.714286,67.2378
0.666667,0.761905,71.7533
0.666667,0.809524,76.6556
0.666667,0.857143,81.9746
0.666667,0.904762,87.6981
0.666667,0.952381,93.7535
0.714286,0.047619,6.76449
0.714286,0.0952381,13.2302
0.714286,0.142857,19.2037
0.714286,0.190476,24.6132
0.714286,0.238095,29.4755
0.714286,0.285714,33.8567
0.714286,0.333333,37.8434
0.714286,0.380952,41.5278
0.714286,0.428571,45.0002
0.714286,0.47619,48.3472
0.714286,0.52381,51.6528
0.714286,0.571429,54.9998
0.714286,0.619048,58.4722
0.714286,0.666667,62.1566
0.714286,0.714286,66.1433
0.714286,0.761905,70.5245
0.714286,0.809524,75.3868
0.714286,0.857143,80.7963
0.714286,0.904762,86.7698
0.714286,0.952381,93.2355
0.761905,0.047619,7.58122
0.761905,0.0952381,14.6508
0.761905,0.142857,20.9459
0.761905,0.190476,26.429
0.761905,0.238095,31.1855
0.761905,0.285714,35.3456
0.761905,0.333333,39.0435
0.761905,0.380952,42.402
0.761905,0.428571,45.5301
0.761905,0.47619,48.5246
0.761905,0.52381,51.4754
0.761905,0.571429,54.4699
0.761905,0.619048,57.598
0.761905,0.666667,60.9565
0.761905,0.714286,64.6544
0.761905,0.761905,68.8145
0.761905,0.809524,73.571
0.761905,0.857143,79.0541
0.761905,0.904762,85.3492
0.761905,0.952381,92.4188
0.809524,0.047619,8.90962
0.809524,0.0952381,16.8458
0.809524,0.142857,23.5002
0.809524,0.190476,28.9715
0.809524,0.238095,33.492
0.809524,0.285714,37.2967
0.809524,0.333333,40.5828
0.809524,0.380952,43.5068
0.809524,0.428571,46.1935
0.809524,0.47619,48.7457
0.809524,0.52381,51.2543
0.809524,0.571429,53.8065
0.809524,0.619048,56.4932
0.809524,0.666667,59.4172
0.809524,0.714286,62.7033
0.809524,0.761905,66.508
0.809524,0.809524,71.0285
0.809524,0.857143,76.4998
0.809524,0.904762,83.1542
0.809524,0.952381,91.0904
0.857143,0.047619,11.2115
0.857143,0.0952381,20.3225
0.857143,0.142857,27.2375
0.857143,0.190476,32.4649
0.857143,0.238095,36.5143
0.857143,0.285714,39.7663
0.857143,0.333333,42.4841
0.857143,0.380952,44.8491
0.857143,0.428571,46.9913
0.857143,0.47619,49.0102
0.857143,0.52381,50.9898
0.857143,0.571429,53.0087
0.857143,0.619048,55.1509
0.857143,0.666667,57.5159
